Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
70897,The Secret History,Donna Tartt,"Tartt, Donna",,"=""0140167773""","=""9780140167771""",5,4.16,Penguin Books,Paperback,629,1993,1992,2022/09/28,2022/08/20,favorites,favorites (#5),read,"This is my new favourite book - which in itself is a title I don't think I've ever distinctly appointed. I hope this portrays the love which I have for The Secret History.<br/><br/>Everything - truly everything, from the setting, the romanticised academia, the way Tartt makes me love very hateable characters, the way I root for the villain, the immoral - though I still don't fully understand why. <br/><br/>If you want a beautifully written, engaging, absorbing book - this is it. I usually enjoy a mystery, or enjoy the slow unravel of a plot - but we are told on the first page of the death of Bunny, and exactly who killed him, this stealing my usual reasons for enjoying a book. Yet I would describe the experience I had reading this as none other than perfection.<br/><br/>I truly can't put into words how much I thoroughly adored TSH, and will likely be re-reading it soon. The perfect read as the leaves begin to fall and the days begin to darken. <br/><br/>5/5. ",,,1,0
36509779,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0349142920""","=""9780349142920""",4,4.09,Abacus,Paperback,388,2018,2017,2022/10/03,2022/08/25,,,read,"I really loved this book! As a young(ish) male, it made me consider things I haven't before, such as what it means to be a mother, and how people can show love. <br/><br/>It made me think about how people have different paths in life, and that living fully can be very different for different people. It was also the first book to make me really cry.<br/><br/>4.5/5",,,1,0
52219386,Almond,Sohn Won-Pyung,"Won-Pyung, Sohn",Joosun Lee,"=""0062961373""","=""9780062961372""",0,4.20,HarperVia,Hardcover,272,2020,2017,,2022/09/12,to-read,to-read (#44),to-read,,,,0,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",0,4.03,Vintage Books,Paperback,296,2000,1987,,2022/09/12,to-read,to-read (#43),to-read,,,,0,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,4.15,Knopf,Paperback,607,1997,1994,,2022/09/12,to-read,to-read (#42),to-read,,,,0,0
56802275,Elena Knows,Claudia Piñeiro,"Piñeiro, Claudia",Frances Riddle,"=""1999368436""","=""9781999368432""",0,4.11,Charco Press,Paperback,143,2021,2007,,2022/09/07,to-read,to-read (#41),to-read,,,,0,0
52346471,Firekeeper's Daughter,Angeline Boulley,"Boulley, Angeline",,"=""""","=""""",0,4.37,"Henry, Holt and Co. (BYR)",Hardcover,496,2021,2021,,2022/08/20,to-read,to-read (#40),to-read,,,,0,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.17,Celadon Books,Hardcover,325,2019,2019,,2022/07/14,to-read,to-read (#39),to-read,,,,0,0
25733573,Reasons to Stay Alive,Matt Haig,"Haig, Matt",,"=""0143128728""","=""9780143128724""",0,4.10,Penguin Books,Paperback,256,2016,2015,,2022/07/13,to-read,to-read (#38),to-read,,,,0,0
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.38,St. Martin's Press,Kindle Edition,435,2018,2018,,2022/07/13,to-read,to-read (#37),to-read,,,,0,0
38357895,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",0,3.71,Portobello Books,Paperback,163,2018,2016,,2022/07/13,to-read,to-read (#36),to-read,,,,0,0
43124137,The Beekeeper of Aleppo,Christy Lefteri,"Lefteri, Christy",,"=""1984821210""","=""9781984821218""",0,4.18,Ballantine Books,Hardcover,317,2019,2019,,2022/07/12,to-read,to-read (#35),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.01,Vintage International,Paperback,159,1989,1942,,2022/07/12,to-read,to-read (#34),to-read,,,,0,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",4,3.75,Picador,Paperback,213,2019,2015,2022/07/11,2022/06/15,,,read,"Although this was a quick read, you definitely have time to emotionally connect with the characters of the book, and the stories contained within are all thought provoking and cover potentially sensitive/difficult issues. A book that really makes you think about discovering the truth behind the 'what ifs' that linger in the back of your mind.  ",,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.20,Crown Publishing Group (NY),Paperback,544,2004,2003,,2022/07/08,to-read,to-read (#33),to-read,,,,0,0
31434883,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0735220689""","=""9780735220683""",0,4.25,Pamela Dorman Books / Viking,Hardcover,336,2017,2017,,2022/07/08,to-read,to-read (#32),to-read,,,,0,0
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",0,4.28,Harper,Hardcover,272,2018,2018,,2022/07/08,to-read,to-read (#31),to-read,,,,0,0
25555839,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1444775812""","=""9781444775815""",0,4.37,Sceptre,Paperback,294,2015,2012,,2022/07/08,to-read,to-read (#30),to-read,,,,0,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.34,Penguin Books,Paperback,462,2019,2016,,2022/07/06,to-read,to-read (#29),to-read,,,,0,0
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,"=""0679723056""","=""9780679723059""",0,4.09,Vintage Books,Paperback,159,1989,1981,,2022/07/06,to-read,to-read (#28),to-read,,,,0,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Olga Shartse,"=""""","=""""",0,4.01,,Paperback,82,1848,1848,,2022/07/06,to-read,to-read (#27),to-read,,,,0,0
59227549,A Spoonful Of Murder,J.M.   Hall,"Hall, J.M.",,"=""0008530084""","=""9780008530082""",3,3.30,Avon Books,Paperback,400,2022,2022,2022/06/27,2022/06/11,,,read,"although the book was enjoyable, I definitely found it overly predictable and I also struggled to relate and build any feeling toward the somewhat empty characters. However, the story and subplots were entertaining.<br/>",,,1,0
55384168,No Bad Parts: Healing Trauma and Restoring Wholeness with the Internal Family Systems Model,Richard C. Schwartz,"Schwartz, Richard C.",Alanis Morissette,"=""1683646681""","=""9781683646686""",0,4.23,Sounds True,Paperback,216,2021,2021,,2022/06/24,to-read,to-read (#26),to-read,,,,0,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""038560310X""","=""9780385603102""",0,4.08,Random House,Paperback,710,2000,2000,,2022/06/13,to-read,to-read (#25),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",0,4.47,Atria Books,Hardcover,389,2017,2017,,2022/06/13,to-read,to-read (#24),to-read,,,,0,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""0385534635""","=""9780385534635""",0,4.03,Doubleday,Hardcover,387,2011,2011,,2022/06/13,to-read,to-read (#23),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.41,Crown,Hardcover,384,2014,2011,,2022/06/12,,,read,,,,1,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",0,3.94,Penguin,Kindle Edition,382,2020,2020,,2022/06/12,to-read,to-read (#22),to-read,,,,0,0
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""""","=""""",0,3.72,Delacorte Press,Kindle Edition,242,2014,2014,,2022/06/12,to-read,to-read (#21),to-read,,,,0,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",0,4.01,Broadway Paperbacks,Paperback,254,2006,2006,,2022/06/07,to-read,to-read (#20),to-read,,,,0,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",0,4.34,Simon & Schuster Books for Young Readers,Hardcover,359,2012,2012,,2022/05/19,to-read,to-read (#19),to-read,,,,0,0
